,Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Quality_label
0,0.0016601206250732926,0.591013168196789,147.608372570811,38.18634496848568,0.00042125262631301127,0.0006120328103463284,2286.523412877417,0.0354071712503914,0.593081227289144,1.0103849691130915,6.856075250041488,0.16876071379382554,1.0987554612335069,36.95599172211241,8.454598231878,11.438066372924107,177.24311976332143,338.7292556206168,2.02170378311251,0.0795256888750545,Pass
1,1.6017489491937518,0.01505168518259049,0.03586444308520504,51.13032623794467,0.000909186710115283,0.0023970118945773385,2286.523412877417,0.0354071712503914,0.593081227289144,1.0103849691130915,0.0003621600149579349,11.649033468327413,0.0666707969280418,225.63294920295064,0.4818598972488162,20597.447821975264,3.723329824446576,15.376190312516973,0.986973222618972,4.634376472595396,Fail
2,0.09803876379123562,69.23368455813713,0.08092025981807327,0.11226531985215142,0.000909186710115283,0.0019722902791430167,2286.523412877417,0.0354071712503914,0.593081227289144,1.0103849691130915,0.02220086793016544,0.0782128514136457,110.07968922563772,2.208138002602501,0.07352461913280617,236.07931427567902,0.0641956103023279,0.5763016299340706,33.875790494163944,1.8137271575166176,Fail
3,18.18185974441928,0.047325070624370406,0.01806127728881444,1.0981020952722509,0.000909186710115283,0.0023970118945773385,2286.523412877417,0.0354071712503914,0.593081227289144,1.0103849691130915,1.459004307953066,0.3802810226197945,0.011491433342203223,0.6545169537655952,0.025871900893315414,176.94891511517594,0.029777220944842295,0.2467261219985666,27.11716521686684,0.08181887069208259,Fail
4,0.012085347983843812,0.00874865876682251,0.0055085039897785825,524.3273958001754,0.000909186710115283,0.0023970118945773385,2286.523412877417,0.0354071712503914,0.593081227289144,1.0103849691130915,11.576646530853164,1.5556716506857131,38.61338614155886,0.260988734969036,0.00937959359413998,194.79803927476368,0.055053013734880966,0.0147251958140681,13.569707412364734,18.13849632550047,Fail
5,0.00406202055430456,14.556483073394565,0.7869449307467652,0.010545003039276732,0.0005248107860393059,0.0016228242145990336,2286.523412877417,0.0354071712503914,0.593081227289144,1.0103849691130915,0.001554977352689652,8.998939535158076,6.39271162327593,16.10747904884442,1.0160707710888042,86.06425772575398,0.5763796925121741,123.05748859324041,16.133884161988206,0.5985168129875573,Good
6,0.4384492177373529,1.2325588622180144,2.8826985032071546,0.6107569355843293,1.6006542121417071,0.4640371721967635,0.6008268954542136,17.85002139899382,0.05184950759684327,0.010191934435552328,10.690637297320576,0.03455654687948823,0.0009714842579951553,1.0212455116057986,1.7912919372974512,0.37731196901631975,0.035492813781477964,0.1466899319629917,41.285375533946784,5.985572288606818,Good
7,48159.917400879196,0.002986740908753548,14.863812554393695,0.06328729110841724,1.4340604431602009,0.31416229565592063,0.6008268954542136,17.85002139899382,0.05184950759684327,0.010191934435552328,0.05785130429255748,0.2550935081826137,0.09039487046346878,21.03551414244761,29.60862965960875,0.5814543556127546,0.6156087316821208,3.32115588107238,0.013034491637248848,0.04503878007674437,Good
8,1.456600828055853,52.381578313558464,20.62528279935016,366.07483058233254,1.4340604431602009,0.2584965236080645,0.6008268954542136,17.85002139899382,0.05184950759684327,0.010191934435552328,120.79184288867113,49.15163485594804,43.315937922008736,0.5812974676428729,0.753915528265232,0.6100760366855802,0.029777220944842295,0.007033416350574679,3.397996102847366,20.322889021663823,Pass
9,0.00010855766956008786,4.784653654894451,31.916671626579124,20.672387698988782,1.2848055120444446,0.17500723248384614,0.6008268954542136,17.85002139899382,0.05184950759684327,0.010191934435552328,0.0003056108339769017,0.02034798267017312,58.68101440665634,8.387914467112239,33.36251759807116,0.10817422244726176,1.356619243479095,1.0814454969873784,0.05606047268556486,0.41359742000963545,Good
10,12.46032336018146,75.94033719374833,0.05124092605666705,0.7109900449439545,1.6006542121417071,0.6854116491948538,0.6008268954542136,17.85002139899382,0.05184950759684327,0.010191934435552328,0.013220401924611342,205.87620451434125,52.98706474119422,0.1530279110679493,4.654686487005268,0.0037440366411067923,1.4174966460109542,0.11466619193095524,0.0396569996525908,0.06898858454339309,Pass
11,0.7784088273040023,9.256196570829417,74.33593499054305,2.982123409621955,1.6006542121417071,0.6854116491948538,0.6008268954542136,17.85002139899382,0.05184950759684327,0.010191934435552328,5.271388283573167,0.4037544330855135,44.60449636003273,15.636766743715091,47.728780688016386,0.15888046046886647,0.2855509455014547,1.0238460402772165,0.4938915165973094,0.30253203548046337,Good
12,0.0007578511404783954,0.022673385225588143,199.65658152698447,3.7615932992022953,1.6006542121417071,0.6854116491948538,0.6008268954542136,17.85002139899382,0.05184950759684327,0.010191934435552328,5.544410129610065,0.019520657712973226,0.029288160885767425,0.4194803677452549,1.046849103236185,0.22240720841937608,0.051544816529282486,0.05785096656045052,0.07924897559726628,0.5654370637706361,Excellent
14,2.8507696438113252,1263.0887959795925,5.224136841601384,33.257217964518254,1.6006542121417071,0.4640371721967635,0.6008268954542136,17.85002139899382,0.05184950759684327,0.010191934435552328,153859.96619396852,0.31002874619861426,6.5979029917877545,41.61092120945544,49.1745581936827,0.7757569209526786,0.9548726164476328,5.288519425059693,0.026699691997771325,1.404292532311685,Good
15,0.0025385875862779447,4.619355482490954,38.40890102136722,0.5267501978563759,2.2258080963796782,1.2304091329496605,0.6008268954542136,17.85002139899382,77.5984881671055,0.052625471291345684,34.33833143295616,0.23263099813012825,9.28754064945194,13.481675543189375,60.59842764558071,0.08925867349899194,0.0214241530664756,0.12793086992094002,168.99824576710574,125.35223251984979,Good
18,0.22054044074434506,262.19359280338796,4.283586535301627,1.5397525464752069,3.45468122040368,1.2304091329496605,0.6008268954542136,17.85002139899382,6.783966877714622,0.3773316638677394,0.0002949036451006408,188.42554709321234,2.8494461222512677,2.3430817795076355,0.9017443926612012,4.590438588283118,6.588163630884441,1.7698418948148555,0.7156601224502008,0.6899324311574963,Excellent
19,0.20416362556184786,5.166549650824143,0.29950100511036193,0.051690713226483,3.8560090499813686,5.856584116935038,0.6008268954542136,17.85002139899382,6.783966877714622,0.3773316638677394,67.86200225094498,26083.185839536156,0.011231994206101464,0.8804953647429534,0.9861973503817054,0.8139430089357087,0.1063511278592482,0.24006571561754214,0.03418926407818132,0.07302462183516062,Excellent
20,35.59793700970824,0.41256067075861225,0.06260093428936868,51.42670093582841,3.8560090499813686,5.856584116935038,0.6008268954542136,17.85002139899382,6.783966877714622,0.3773316638677394,1946.048210177685,64.94821350999052,7.02554393863652,1.741731768451403,0.51149458181485,7.074067961026267,0.11112356526312928,0.21517419087398454,2.02170378311251,2.2768807446219257,Excellent
21,1.349669847926836,0.005561290918615169,73.3634450315438,0.6065193155871134,5.362017666312807,3.9650226773172568,0.6008268954542136,17.85002139899382,6.783966877714622,0.3773316638677394,0.09530087191202737,2.7993585966151118,0.01566678035592033,2.020153452450597,0.5429518179863244,8.170981800090408,25.131500192811426,0.5026027885330381,1.4659493731157698,1.975195461586826,Good
22,0.02958795629882182,1.853346918235093,1.4371643888474066,1505.6681064125946,5.9849193972942265,2.6843983656239985,0.6008268954542136,17.85002139899382,6.783966877714622,0.3773316638677394,0.0014208325704254813,0.22299511392291704,0.5851415684622687,0.22501873328092148,0.3368210767178646,0.5033969880821236,1.270170064475857,0.1351279955765801,0.19783932052682807,0.9704184672837004,Excellent
23,41.99098553817527,0.2410546259074862,81.85109042666845,0.031341039663144415,4.303958844515557,2.6843983656239985,0.6008268954542136,17.85002139899382,6.783966877714622,0.3773316638677394,87.9401063795824,34426.345298602755,0.058820859158445975,0.22501873328092148,0.10209258029486028,3.610043951846548,0.7178422316367533,0.41498266760263625,0.42579589063328827,13.650258341695936,Pass
